image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,BLIP-2, OPT-2.7b descriptions,"BLIP-2, OPT-2.7b question","BLIP-2, OPT-2.7b question"
data/NOUN-2-600DPI\2001-600.jpg,2001,bookend,22,83,59,a pair of orange plastic toys on a white background,,
data/NOUN-2-600DPI\2002-600.jpg,2002,fidget toy,59,74,19,a red metal sculpture with a curved shape,,
data/NOUN-2-600DPI\2003-600.jpg,2003,pencil sharpener,41,70,48,a set of colorful wooden blocks arranged in a line,,
data/NOUN-2-600DPI\2004-600.jpg,2004,fish tank stone,6,25,81,a yellow and orange plastic egg shaped object,,
data/NOUN-2-600DPI\2005-600.jpg,2005,space ship top,34,64,31,a rainbow tie dye headband with a pink and blue feather,,
data/NOUN-2-600DPI\2006-600.jpg,2006,air blower for slr cameras,22,46,78,a silver metal object with a red dot on it,,
data/NOUN-2-600DPI\2007-600.jpg,2007,curlers formed together,34,25,48,a black ball with a red handle,,
data/NOUN-2-600DPI\2008.jpg,2008,dog toy,47,78,65,a blue rubber toy with two arms,,
data/NOUN-2-600DPI\2009-600.jpg,2009,dog toy pet shop,66,52,50,a toy that looks like a spiky orange object,,
data/NOUN-2-600DPI\2010-600.jpg,2010,noisemaker,22,75,88,a red and yellow ball with colorful dots,,
data/NOUN-2-600DPI\2011-600.jpg,2011,coiled worm toy,41,50,59,a green and orange plastic toy with two handles,,
data/NOUN-2-600DPI\2012-600.jpg,2012,sling shot,6,20,87,a red plastic toy with orange spikes,,
data/NOUN-2-600DPI\2013-600.jpg,2013,this light-up toy,38,75,39,a yellow and orange plastic toy with a red cap,,
data/NOUN-2-600DPI\2014-600.jpg,2014,ball catcher,38,78,55,a toy with a colorful ball and a yellow handle,,
data/NOUN-2-600DPI\2015-600.jpg,2015,bird toy,28,21,61,a blue plastic shoe holder with holes on the side,,
data/NOUN-2-600DPI\2016 600dpi.jpg,2016,kenetic wheel,41,29,23,a blue and white mop with a blue handle,,
data/NOUN-2-600DPI\2017-600.jpg,2017,this coils string,16,50,61,a metal and plastic toy with a blue handle,,
data/NOUN-2-600DPI\2018-600.jpg,2018,cat nip toy,31,67,38,a yellow plastic container with a lid,,
data/NOUN-2-600DPI\2019-600.jpg,2019,jacobs ladder,41,36,29,a yellow and orange egg with a brown head,,
data/NOUN-2-600DPI\2020.jpg,2020,foam arrow,9,29,84,a set of four colorful coasters with a ribbon,,
data/NOUN-2-600DPI\2021-600.jpg,2021,marker,9,15,70,a pink and green pipe with four holes,,
data/NOUN-2-600DPI\2022-600.jpg,2022,color changing ball,13,31,87,a green plastic cone with a small hole,,
data/NOUN-2-600DPI\2023-600.jpg,2023,connected disk toy,81,44,41,a black and white ball with a white and black design,,
data/NOUN-2-600DPI\2024-600.jpg,2024,boomerang,6,14,58,"a toy with a yellow, red and blue star",,
data/NOUN-2-600DPI\2025-600.jpg,2025,dog toy,16,71,63,a blue shoe with a white background,,
data/NOUN-2-600DPI\2026-600.jpg,2026,room freshener toy,22,38,47,a green and red plastic toy on a white background,,
data/NOUN-2-600DPI\2027-600.jpg,2027,cat toy found at the pound store,6,47,53,a white ball with a hole in the middle,,
data/NOUN-2-600DPI\2028-600.jpg,2028,cover for room fresheners,19,27,65,a pink donut with three pom poms on it,,
data/NOUN-2-600DPI\2029-600.jpg,2029,marker,9,43,53,a close up of a black plastic device,,
data/NOUN-2-600DPI\2030-600.jpg,2030,book end,16,32,35,a blue and purple plastic toy with a face,,
data/NOUN-2-600DPI\2031.jpg,2031,submarine,47,90,50,a metal metal armrest with a curved shape,,
data/NOUN-2-600DPI\2032-600.jpg,2032,cat toy cage,9,57,55,a toy airplane shaped like a rocket is sitting on a white background,,
data/NOUN-2-600DPI\2033-600.jpg,2033,worm ball with cut off hands or stars,72,39,45,a toy box with an orange and green design,,
data/NOUN-2-600DPI\2034-600.jpg,2034,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,a pile of colorful rubber bands on a white background,,
data/NOUN-2-600DPI\2035-600.jpg,2035,cup-and-ball toy,59,70,20,a blue and brown ball with a blue handle,,
data/NOUN-2-600DPI\2036-600.jpg,2036,teething ring with a bit photoshopped out,34,24,37,"a wooden toy with a red, yellow, green and blue ball",,
data/NOUN-2-600DPI\2037-600.jpg,2037,heart shaped slinky,56,63,26,a pink plastic bracelet with four balls on it,,
